S90-VII-AN-AUDIT-SCRIPT-REGISTRY-ANCHOR-RECONCILIATION-EXTENSION: PASS -- value='audit-script-extension-landed-AND-flags-§VII.AN-at-S2-advisory;class_g_flag=True;self_test_PASS=4_of_4;diagnostic=route_declaration_absent_in_producing_script;K_calibration=1;allowlist_row=pending;instances_row=pending' scheme=registry-anchor-class-g-extension convention=route-a-vs-route-b-detection-static-string-compare L_max=N/A audit_sha256=7733a880dc3fcb1c45d0e12c13cf42a7659590de938c78f4049490089ad53608 content_sha256=f82bf65410a5819514da5d14b8126dd5263543224913d14d0b8ea51a53a230b4 schema_version=S87+
S90-W7-4-STAGE-2-CROSS-AXIS-CROSS-REVIEW-LIZZI-ALPHA-GAMMA: PASS -- value='axis_alpha=PASS;axis_gamma=PASS;joint_clause=PASS;composite=PASS;cf_55_reading=A;k_alpha=1_SUGGESTION_advances_to_2_with_cf55_reading_A;k_gamma=1_retained_no_advancement_cf55_reading_A;k_joint_promotion=K=3_MANDATORY_consistent;OAA_exclusion=PASS_lizzi_not_W5_R2_authoring_agent;downstream_inheritance_reach=PASS_no_workshop_transcripts_in_memory;substrate_input_orthogonality=PASS_distinct_rule_files_consumed;phase_2_stage_2_axis_A_cross_review_complete' scheme=cf-57-stage-2-cross-axis-cross-review-lizzi-spectral-functional-axis-a convention=cf-57-stage-2-axis-a-spectral-functional-alpha-plus-gamma-cross-review L_max=N/A audit_sha256=334792b50965070e68ef9941cc5332ef08ba0124b3c53cf8c9419e1330fb973f content_sha256=1edaad759c3629a97155586c0361ce78e486ecaef4add34258c1b104d167e477 schema_version=S87+
# audit_sha256_short=334792b50965070e content_sha256_short=1edaad759c3629a9 # S90-W7-4-STAGE-2-CROSS-AXIS-CROSS-REVIEW-LIZZI-ALPHA-GAMMA dual-SHA companion row (W9a-99 split)
S90-VII-AQ-DUAL-READING-REGISTRATION: PASS -- value='dual_reading_registered=True;Branch_A_applied=True;reading_A_promoted_to_STAGE-3-PERMANENT-ELIGIBLE=True;reading_B_demoted_to_WITHDRAWN-IN-FAVOR-OF-READING-A=True;no_canonical_import_binding_suffix_on_downstream=True;binding_axis_K_counter=K=1_no_advancement;composite_FAIL_vs_3_tuple_PASS_nuance_documented=True;class_8_3_PRU_documented_as_S91_carry_forward=True;verify_match_count=17_of_17;single_shot_AFTER_pattern=True;cf_55_substrate_physics_result=Δ_scheme=0.000e+00_EXACTLY;cf_55_input_pin=f634be0d94224109;op_a_input_pin=bad7c3244606a08f' scheme=vii-aq-dual-reading-registration-stage-1-candidate convention=vii-aq-dual-reading-registration-via-vii-as-s88-w18-precedent-Branch-A L_max=10 audit_sha256=23a60ab5b0a09a44b2c722e5dd30b831b90b73298ce73a345cc10c42a8fe8395 content_sha256=4d19d0cc563edd9776278917cc664fbccc445ca7ca15ff5081516a14b62b2ff1 schema_version=S87+
# audit_sha256_short=23a60ab5b0a09a44 content_sha256_short=4d19d0cc563edd97 # S90-VII-AQ-DUAL-READING-REGISTRATION dual-SHA companion row (W9a-99 split)
S90-VII-U-2-STAGE-2-CROSS-AXIS-REVIEWER-ELIGIBILITY-AUDIT: PASS -- value='Axis-A_pool={van-den-dungen-bridge-theorist,gen-physicist};Axis-B_pool={volovik-superfluid-universe-theorist,mack-cosmic-bridge,kitaev-quantum-chaos-theorist};EXCLUDED={connes-ncg-theorist,lizzi-spectral-functional-theorist};clause_1_axis_distinctness=True;clause_3_audit_coverage=True;axis_a_pool_size=2;axis_b_pool_size=3;DIR_trigger_count=0;plan_expectation_match=True;VII_U_2_block_sha_short=cca490e2c2f0c627;W3_workshop_sha_short=19f01edff552e7de;stage_2_dispatch_id=S91-OR-LATER-FOUR-CORNER-STAGE-2-CROSS-AXIS-VERIFY-conditional-on-CF-51-STAGE-1-CANDIDATE-landing' scheme=stage-2-axis-b-selection-protocol-3-clause-audit convention=joint-theorem-promotion-mandatory-K3 L_max=N/A audit_sha256=39b598b444f1d070aba1286a087fc7ecb10143b5f3e037d16fcda2388083640b content_sha256=1ada2cd71ae52a115eceed089e72329fa04d72d0fff6de7084d367a0437ff535 schema_version=S87+
# audit_sha256_short=39b598b444f1d070 content_sha256_short=1ada2cd71ae52a11 # S90-VII-U-2-STAGE-2-CROSS-AXIS-REVIEWER-ELIGIBILITY-AUDIT dual-SHA companion row (W9a-99 split)
S90-CF-A40-FAIL-ALTERNATIVE-CHIRALITY-RESCOPE: PASS -- value='vii_aq_stage_2_upgrade_landed=True;vii_at_scaffolded=True;vii_aw_scaffolded=True;cf_a40_rescoped=True;lockfile_present=True;registry_verify=11_of_11;s89_w2_wp_verify=4_of_4;lockfile_verify=5_of_5;total_verify=20_of_20;single_shot_AFTER_pattern=True;op_a_input_pin=bad7c3244606a08f;op_b_input_pin=23a60ab5b0a09a44;cf_54_input_pin=3643ca19211edfc4;cf_55_input_pin=f634be0d94224109' scheme=cf-a40-fail-alternative-chirality-rescope convention=cf-a40-rescope-via-w-5-cf-w5-3-stage-2-upgrade-plus-vii-at-vii-aw-scaffold L_max=10 audit_sha256=62fe81d0e3d13c62e35b47c7ba4f304b8638452163ee74d769aa191a6f33368b content_sha256=77f75493f6dda6ee5aaf3ab3054cab0a9e798253877343ac5a362ef2cb9b9353 schema_version=S87+
# audit_sha256_short=62fe81d0e3d13c62 content_sha256_short=77f75493f6dda6ee # S90-CF-A40-FAIL-ALTERNATIVE-CHIRALITY-RESCOPE dual-SHA companion row (W9a-99 split)
S90-LEVEL-DRESSED-K-2-EMPIRICAL-SCAN-VAR-A-N-A-GGE: PASS -- value='spearman_rho_S=-0.6842105263;rank_swap_observed=True;D_max_overall=0.8498;W9b_2_precedent_D_max=2.168;criterion_1_structural=True;criterion_2_class_unchanged=True;criterion_3_rank_swap=True;K_counter_pre=1;K_counter_post=2;K_advancement=True;class_LEVEL_S=MIXED;class_LEVEL_P=MIXED;spread_LEVEL_S_oom=0.2534;spread_LEVEL_P_oom=0.3140;bogoliubov_lambda_zero_limit_rel_dev=7.5715e-01;bogoliubov_lambda_inf_below_1e_minus_3=False;N_total_BdG_doubled_modes=63913440;PROXY_TAG=REGISTRY-INCOMPLETE-PENDING-PROXY-REFINEMENT;PROXY_DETAIL=LEVEL-P-is-PV-envelope-SCHEMATIC-EXTENDED-pending-FULL-CC-multipliers' scheme=var_a-level-dressed-K2-empirical-5-regulator-atlas convention=PRIMARY-vs-SCHEMATIC-level-pin-K4-MANDATORY-PV-ENVELOPE-SCHEMATIC-EXTENDED-PROXY-PENDING-FULL-CC-MULTIPLIERS-SCHEMATIC L_max=12 audit_sha256=2ba9d07429912025d7d9cac9d39ef4cfbdf794de5102f94e4406c1509d01dffe content_sha256=3c4fc834cd098a8f297c675286de5c410a53b15c3ab02c2dd1f4aeb9b25645dc schema_version=S87+
# audit_sha256_short=2ba9d07429912025 content_sha256_short=3c4fc834cd098a8f # S90-LEVEL-DRESSED-K-2-EMPIRICAL-SCAN-VAR-A-N-A-GGE dual-SHA companion row (W9a-99 split)
# sign_verdict=PASS magnitude_verdict=PASS regime_verdict=VALID # S90-LEVEL-DRESSED-K-2-EMPIRICAL-SCAN-VAR-A-N-A-GGE 3-tuple annotation (S87 schema-v2)
# tier_pin=TIER-2 # S90-LEVEL-DRESSED-K-2-EMPIRICAL-SCAN-VAR-A-N-A-GGE SCHEMATIC level pin discipline (per substrate-first-canonical-sourcing.md §(iv) K=4 MANDATORY; PV-envelope-SCHEMATIC-EXTENDED proxy pending FULL Connes-Chamseddine multipliers)
S90-F-TRAJ-ZETA-VS-SDW-PREDICTION-VAR-A-FALSIFIABLE-TEST: INFO -- value='max_rel_dev_ratio_test=8.3913e-01;ratio_test_pass=False;single_k_baseline_pass=False;F_traj_cache_2=1.016977;F_traj_cache_4=1.017922;F_traj_helper_2=1.032404;F_traj_helper_4=1.017711;F_traj_2_theorem=1.5;F_traj_4_theorem=2.5;F_traj_cache_2_rel_dev=3.220e-01;F_traj_cache_4_rel_dev=5.928e-01;bdg_mirror_check=True;var_a_non_neg_check=True;composite_pass=False;composite_info=True;structural_finding=S84-W3-24-F_traj-is-atlas-row-identity-at-locked-norm-L_k=1-not-cache-moment-ratio;class_d_PIN_DERIVATIVE_pattern=atlas-row-vs-cache-evaluation-distinction-honestly-surfaced' scheme=f_traj-zeta-vs-sdw-bdg-extension-locked-norm-L_k=1 convention=var_a-ratio-prediction-SCHEMATIC-WITH-ATLAS-ROW-VS-CACHE-EVALUATION-DISCLOSURE L_max={6,8,10,12} audit_sha256=a07e1e33b9008cee1211d2e8169fcb20209e0add6bbda8531535ccc3cbfc7293 content_sha256=d252222f9580080bee4abf28c1d1c0a7ee095f6323df00f94da82aa705411bdd schema_version=S87+
# audit_sha256_short=a07e1e33b9008cee content_sha256_short=d252222f9580080b # S90-F-TRAJ-ZETA-VS-SDW-PREDICTION-VAR-A-FALSIFIABLE-TEST dual-SHA companion row (W9a-99 split)
# sign_verdict=PASS magnitude_verdict=INFO regime_verdict=VALID # S90-F-TRAJ-ZETA-VS-SDW-PREDICTION-VAR-A-FALSIFIABLE-TEST 3-tuple annotation (S87 schema-v2)
# tier_pin=TIER-2 # S90-F-TRAJ-ZETA-VS-SDW-PREDICTION-VAR-A-FALSIFIABLE-TEST SCHEMATIC level pin discipline (per substrate-first-canonical-sourcing.md §(iv) K=4 MANDATORY; _spectral_action_regulators.py schematic-helper consumption)
S90-W7-4-STAGE-2-COMPOSITE-PASS-AND: PASS -- value='stage_2_pass_and=PASS;mack_beta=PASS;lizzi_alpha_gamma=PASS;four_way_conjunction_alpha_beta_gamma_joint_clause=PASS-AND;phase_1_input_sha=2b7bedaa0473d12ab84f3ed2aef51a8bb112344536121069258935059c020bae;mack_beta_input_sha=124a2d4ebababb1e7ba228c1e1e923e765c9c330c8246123621aae3780d3656e;lizzi_ag_input_sha=334792b50965070e68ef9941cc5332ef08ba0124b3c53cf8c9419e1330fb973f;axis_alpha_machinery_scope_K=1_SUGGESTION_with_K=2_advance_path_cf55_reading_A;axis_beta_bridge_map_scheme_K=1_SUGGESTION_first_instance_at_cf55_landing;axis_gamma_binding_axis_K=1_retained_W7b82_baseline_no_advance_cf55_reading_A;joint_clause_K=3_promotion_threshold_consistent_across_axes;stage_3_promotion_eligibility=ENABLED_per_joint_theorem_promotion_md_4_stage_pathway;phase_1_INFO_line_121_remains_on_disk_per_absolute_verdict_permanence;substrate_input_orthogonality_PASS_at_structural_ceiling_no_overlap_caveat;OAA_exclusion_PASS_for_both_reviewers_connes_volovik_excluded_as_original_authors;downstream_inheritance_reach_test_PASS_for_both_reviewers;procedural_floor_satisfied_no_workshop_transcripts_consumed_by_cross_reviewers;audit_at_plan_freeze_6_item_check_PASS_per_joint_theorem_promotion_md_audit_at_plan_freeze;composite_emission_pattern=orchestrator_direct_parallel_to_cf58_plan_w7-5_three_lines_specification' scheme=cf-57-stage-2-composite-pass-and-aggregation convention=composite-across-axis-a-lizzi-alpha-gamma-plus-axis-b-mack-beta-orchestrator-direct L_max=N/A audit_sha256=f52089746718a281ae676716667b18303089dbfa9d6331e39f60f4dd04fecfc1 content_sha256=24afdeab0bad3a955321916146c8408a853a999502a0f3055f3c47fa4434b5fb schema_version=S87+
# audit_sha256_short=f52089746718a281 content_sha256_short=24afdeab0bad3a95 # S90-W7-4-STAGE-2-COMPOSITE-PASS-AND dual-SHA companion row (W9a-99 split)
# sign_verdict=PASS magnitude_verdict=PASS regime_verdict=VALID # S90-W7-4-STAGE-2-COMPOSITE-PASS-AND 3-tuple annotation (S87 schema-v2) | composite Stage-2 PASS-AND across mack β + lizzi α+γ; 4-way conjunction across α, β, γ, joint-clause sub-axes; CF-57 Phase 1 INFO-pending-Stage-2 (verdict-file:121) modulates to PASS for Stage-3 promotion eligibility per joint-theorem-promotion.md 4-stage pathway
S90-VII-AR-STAGE-2-INDEPENDENT-VERIFY: FAIL -- value='PRE-REG-INC_blocked_by_S90-W5-7-RETRY-WITH-CANONICAL-W7A74-PRIMARY-EVALUATOR=NOT_STARTED;blocking_prereq=W8_CF-60_FULL-TIER_W7A-74_PRIMARY_EVALUATOR;cf60_status=CF-60_PASS_not_found_in_s90_gate_verdicts;w8_2_wp_status=NOT STARTED;vii_ar_registry_text_unchanged_at_STAGE-1-CANDIDATE-PENDING-CROSS-TIER-CONFIRMATION;substrate_physics_intact=True;plan_section_authority=session-90-plan-w7.md_§W7-5_§6_+_Wave_7_Decision_Point_Prerequisites_item_1;mechanical_closure_per_rule=.claude/rules/mechanical-closure-discipline.md;re-dispatch_path=S91+_after_CF-60_PASS_lands;w2_precedent_gate_id=S90-VII-AR-STAGE-2-PENDING-A36-SUB-CLAIM-ADVANCEMENT;w2_precedent_audit_sha_full_64=8b6ac827d81effac95ad6efb2182c1b4c8711c67a0593f84391c201bbe97690a;axis_a_cross_reviewer_planned=gen-physicist;axis_b_cross_reviewer_planned=volovik-superfluid-universe-theorist;OAA_exclusion=connes-ncg-theorist_+_lizzi-spectral-functional-theorist_excluded_as_W-22_W7a-74_§V.5_authors;closure_kind=mechanical-orchestrator-authored-no-multi-agent-dispatch;closure_admissibility_per_mechanical-closure-discipline.md=ALL_5_CLAUSES_PASS;after_pattern_compliance=True' scheme=mack-sole-writer-single-shot-AFTER-pattern convention=vii-ar-stage-2-independent-verify-MECHANICAL-CLOSURE-W8-CF60-BLOCKED L_max=10 audit_sha256=daf7001d89346a7a7721a1e8b3bc89244f2dd4693fd71414ac5c6acb8335897c content_sha256=9a6439343d5ea3f4b3683ef251ebc492c7601cbfda5c8a7a8e54df917615c315 schema_version=S87+
# audit_sha256_short=daf7001d89346a7a content_sha256_short=9a6439343d5ea3f4 # S90-VII-AR-STAGE-2-INDEPENDENT-VERIFY dual-SHA companion row (W9a-99 split)
# PRE-REG-INC per session-90-plan-w7.md §W7-5 §6 + §"Wave 7 Decision Point Prerequisites" item 1; deferred to S91; required prereq: [S90-W5-7-RETRY-WITH-CANONICAL-W7A74-PRIMARY-EVALUATOR=PASS]; closure_script=computations/session-90/s90_w7_cf58_mechanical_closure_blocked_by_w8_cf60.py; W2_precedent=S90-VII-AR-STAGE-2-PENDING-A36-SUB-CLAIM-ADVANCEMENT_audit_sha_8b6ac827d81effac
S90-VII-U-2-CORNER-II-STAGE-1-CANDIDATE-VAR-A-JOINT-THEOREM-LANDING: PASS -- value='write_succeeded=True;composite_pass=True;rubric_count=6_of_6;clause_count=5_of_5;author_attributions=5_of_5;corrigenda_found=3_of_3;stage_1_tag=True;stage_2_dispatch_id=True;inserted_lines=41;promotion_sha=93e07fe58ed7e2d5;pre_edit_sha=9177352b7e6d516f;post_edit_sha=69594707c6f48e12;clause_d_re_framed_per_CF50_INFO=atlas-row-identity-at-locked-norm-L_k=1;solo_runner_ownership=lizzi-spectral-functional-theorist;mack_sole_writer_role_preserved_substrate_physics_content_authorship=True' scheme=stage-1-candidate-corrigendum-sub-entry-three-machinery convention=joint-theorem-promotion-stage-1-with-CF-50-INFO-clause-d-atlas-row-re-frame L_max=N/A audit_sha256=8c89990382f16a9b1ffd9b506ee98bb8231fefed49d9b84da437aa564eae93d3 content_sha256=26c633188714f25d7fbb23518cec73083cdc71332b8c6325a0b1a91086b6586e schema_version=S87+
# audit_sha256_short=8c89990382f16a9b content_sha256_short=26c633188714f25d # S90-VII-U-2-CORNER-II-STAGE-1-CANDIDATE-VAR-A-JOINT-THEOREM-LANDING dual-SHA companion row (W9a-99 split)
S90-F-TRAJ-MULTIPLICATIVE-COMPOSITION-LAW-CONJECTURE-EMPIRICAL-TEST: INFO -- value='path_b_pass=True;path_b_pair_count=861;path_b_max_rel_dev_composition=0.000e+00;path_b_self_composition_max_rel_dev=0.000e+00;path_b_symmetry=True;var_a_fingerprint=F_traj(2)*F_traj(4)=3.75=15/4;var_a_fingerprint_rel_dev=0.000e+00;path_a_single_k_total_pass=0_of_42;path_a_max_rel_dev=9.523e-01;path_a_min_rel_dev=1.646e-02;F_traj_cache(2)=1.0170;F_traj_cache(4)=1.0179;F_traj_cache(42)=1.0264;path_c_max_rel_dev=9.977e-01;path_c_pass=False;composite_pass=False;composite_info=True;structural_finding=multiplicative-composition-law-PASSes-at-theorem-input-level-Path-B;cache-realization-FAILs-at-Path-A-single-k-baseline-extending-CF-50-INFO-to-42-row-scale;class_d_PIN_DERIVATIVE_atlas-row-vs-cache-evaluation-distinction' scheme=f_traj-multiplicative-composition-law-atlas-861-pole-pairs convention=f_traj=(k+1)/2-locked-norm-L_k=1-S84-W3-24-WITH-3-PATH-EVALUATION-DISCLOSURE L_max=12 audit_sha256=6ba92b0ab13d9389393e591aea7f3620ba04f65d84aef7882288c9b5ca21ec3d content_sha256=d6fbb9f8787a93edeb5c3b88b1f32304cbbaa3957bdad0bf0033b84974a4bc8f schema_version=S87+
# audit_sha256_short=6ba92b0ab13d9389 content_sha256_short=d6fbb9f8787a93ed # S90-F-TRAJ-MULTIPLICATIVE-COMPOSITION-LAW-CONJECTURE-EMPIRICAL-TEST dual-SHA companion row (W9a-99 split)
# sign_verdict=PASS magnitude_verdict=INFO regime_verdict=VALID # S90-F-TRAJ-MULTIPLICATIVE-COMPOSITION-LAW-CONJECTURE-EMPIRICAL-TEST 3-tuple annotation (S87 schema-v2)
# tier_pin=TIER-2 # S90-F-TRAJ-MULTIPLICATIVE-COMPOSITION-LAW-CONJECTURE-EMPIRICAL-TEST SCHEMATIC level pin discipline (per substrate-first-canonical-sourcing.md §(iv) K=4 MANDATORY; _spectral_action_regulators.py schematic-helper consumption)
S90-VII-U-2-CORNER-RECONCILIATION-VERIFY: INFO -- value='sub_check_a_pass=True;sub_check_b_pass=False;sub_check_c_pass=True;sub_check_d_pass=True;sub_check_e_pass=False;pass_count=3_of_5;composite_pass=False;composite_info=True;composite_info_class_d_audit_script_extension_not_implemented=True;composite_info_plan_band_4_of_5_marginal_d=False;composite_fail=False;class_d_pending=CF-W6-4_corner_audit_extension+CF-3_plan_staleness_extension;sub_d_forward_only_per_plan_W6-8_line_1107=True;vii_ar_text_unchanged_at_STAGE-1-CANDIDATE-PENDING-CROSS-TIER-CONFIRMATION=True;corner_II_row_text_proper_unchanged_from_W3_R2_freeze=True;CF-51_PASS_landed_with_corrigendum_sub_block=True' scheme=composite-reading-b-propagation-verify-5-sub-check convention=w-3-r3-r2-closure-propagation-audit-with-class-d-extension-not-implemented-disclosure L_max=N/A audit_sha256=00e7b979cb20d9a9e06c33a7efa621c9c677648b645e1032f1958846ef63a3ad content_sha256=64e151324cf81b499fb0ae4531c2bde63e8d472d79fa1e63d9708b409db96ff5 schema_version=S87+
# audit_sha256_short=00e7b979cb20d9a9 content_sha256_short=64e151324cf81b49 # S90-VII-U-2-CORNER-RECONCILIATION-VERIFY dual-SHA companion row (W9a-99 split)
S90-FWD-C2-SUBSTRATE-IS-DISAMBIGUATION: PASS -- value='disambiguation_complete; element1=K-window-log-derivative; bridge_BEFORE=Pillar-II↔Pillar-V; bridge_AFTER=Pillar-III-IV↔Pillar-V; candidate_A_type=Type-S; candidate_B_type=Type-F; level=Level-1-single-tau-slice-at-tau-fold=0.19; hit_predicate_post_disambig=PASS-via-ii-and-iii-disjunction; k_counter_unchanged=True; 6_clauses_pass=True; supersedes=2eeb881b16b66298f87e486debd7e91d2d070c1ffe9bdb41a7bf54e51c623db5' scheme=FWD-C2-anatomy-disambiguation convention=substrate-IS-canonical-K-window-log-derivative L_max=10 audit_sha256=8b4bfdee600fceb771caf30fe0c8ce99a1c4c210264a9e738edf67e12d328b58 content_sha256=51ba3c12d16aaab8976c70f49ebb70161a6d0d92ac0aa1c75604253934fffdc4 schema_version=S87+
# audit_sha256_short=8b4bfdee600fceb7 content_sha256_short=51ba3c12d16aaab8 # S90-FWD-C2-SUBSTRATE-IS-DISAMBIGUATION dual-SHA companion row (W9a-99 split); OPTION-A SUCCESSOR (supersedes_prior_gate_id=S89-FWD-C2-OBSERVABLE-DISAMBIGUATION; supersedes_audit_sha256_full_64=2eeb881b16b66298f87e486debd7e91d2d070c1ffe9bdb41a7bf54e51c623db5)
S90-VII-AV-VII-AU-DEFERRED-PENDING-MACK-LANDING: PASS -- value='vii_av_landed=True; vii_au_landed=True; level1_tags=2; deferred_pending_subclass=2; audit_passes=True' scheme=mack-sole-writer-deferred-pending-landing convention=cross-pillar-bridge-anatomy-5anatomy-3level-deferred-pending L_max=N/A audit_sha256=b9b0250b338be4b25cae05d74ed7c188503a0cb31d7648b6375b2fdd387a0b70 content_sha256=38db3f56ca4f9501d8e31e46d1f79a1fb507ddc8ff83df2d1668d9ff592e6b42 schema_version=S84+
# audit_sha256_short=b9b0250b338be4b2 content_sha256_short=38db3f56ca4f9501 # S90-VII-AV-VII-AU-DEFERRED-PENDING-MACK-LANDING dual-SHA companion row (W9a-99 split)
S90-W5-7-RETRY-WITH-CANONICAL-W7A74-PRIMARY-EVALUATOR: PASS -- value='N_FULL=5/5;spearman_cross_tier=-0.160000;band=PASS-B' scheme=W7a74-PRIMARY-FULL-tier convention=FULL-physical-regularization-NOT-SCHEMATIC L_max=12 audit_sha256=28e30088adb5a14787c60e5c106d7fcc556575eda916e57cac78ae70c9c37f43 content_sha256=49f72ff08a8153550d8e6999aa4ca16905d089773f4f9e3fcbdd7c54f304b27e schema_version=S84+
# audit_sha256_short=28e30088adb5a147 content_sha256_short=49f72ff08a815355 # S90-W5-7-RETRY-WITH-CANONICAL-W7A74-PRIMARY-EVALUATOR dual-SHA companion row (W9a-99 split)
# sign_verdict=N/A magnitude_verdict=PASS regime_verdict=VALID # S90-W5-7-RETRY-WITH-CANONICAL-W7A74-PRIMARY-EVALUATOR 3-tuple annotation (S87 schema-v2)
S90-W6-7-D-MAX-CO-AUTHOR-RE-DISPATCH: PASS -- value='D_max=3.979400e-01;severity_band=ADVISORY;D_log_rho_S=3.979400e-01;D_log_zeta_D=0.000000e+00;rho_S_s4_SCH=-1.000000;rho_S_s4_FULL=-0.400000;zeta_D_s4_SCH=1.749812e+05;zeta_D_s4_FULL=1.749812e+05;inheritance_pin_remediation_required=False;L_max_schematic_truncation_target=10;L_max_full_physical_pv=12;Lambda_UV_GeV=7.428660e+16;PV_2point_M_dimless=[1.0, 1.4142135623730951];PV_2point_c=[2.0, -1.0];PV_identity_sum_c_r=1.0000000000000000e+00;PV_identity_sum_c_r_m_r_sq=-4.4408920985006262e-16;W3_A14_regulator_class_invariant=True;W3_A14_max_rel_dev=2.4057e-06;W3_A14_substrate_canonical=7.324992;tau_fold=0.19' scheme=FULL-physical-PV-pipeline-vs-SCHEMATIC convention=substrate-distance-2-pole-s4 L_max=10 audit_sha256=a0116aaea90e550bfeb029fd97e928573986d7eda593c5a135f9c830b228a304 content_sha256=9f0d5cfdedefe0da0a322258365d5c7fb7a94a2a44734f429ec61236f09e5f51 schema_version=S87+
# audit_sha256_short=a0116aaea90e550b content_sha256_short=9f0d5cfdedefe0da # S90-W6-7-D-MAX-CO-AUTHOR-RE-DISPATCH dual-SHA companion row (W9a-99 split)
# sign_verdict=PASS magnitude_verdict=PASS regime_verdict=VALID # S90-W6-7-D-MAX-CO-AUTHOR-RE-DISPATCH 3-tuple annotation (S87 schema-v2) | Substitution chain Step 5: D_max in NO-ACTION/ADVISORY ⟹ SCHEMATIC faithful proxy + inheritance-pin retroactive remediation NOT required; D_max in MANDATORY/HARD-HALT ⟹ inheritance-pin retroactive remediation MANDATORY per substrate-first-canonical-sourcing.md §(iv) §'Inheritance-pin' (S88 W-24 V.4 / B.62)
# tier_pin=TIER-2 # S90-W6-7-D-MAX-CO-AUTHOR-RE-DISPATCH SCHEMATIC level pin discipline (per substrate-first-canonical-sourcing.md §(iv) K=4 MANDATORY; SCHEMATIC tier consumed via s87_w9b_pole_specificity_scan.npz + _spectral_action_regulators.py SCHEMATIC docstring lines 23-30; FULL physical PRIMARY 2-point PV pipeline via _pauli_villars_subtraction.py Connes-Chamseddine 1996 §2.2-2.3 multipliers)
S90-W5-5-RETRY-WITH-PV-SUBTRACTED-MELLIN-S3-EXTRACTION: INFO -- value='R_emp=1.135623;R_A_pred=1.012396;R_B_pred=2.000000;reading_winner=neither;band=INFO_(between_bands);primary_L_max=12;achieved_L_max_tau038=12;dist_to_A=12.1719%;dist_to_B=43.2188%;baseline_PASS=1;baseline_rel_diff=0.000e+00;lmax_convergence_status=VALID;pv_stability_drift_rel=8.922e-02;pv_stability_PASS=0;sign=PASS;mag=INFO;reg=MARGINAL;composite=INFO;hit_K_advance=0;M_PV2_frac=0.100;mellin_s=3' scheme=PV-subtracted-Mellin-s3 convention=substrate-distance-1-canonical L_max=12 audit_sha256=23b8e170c59f096cd86d3acdce7dd08c05e5a17e79459d1405907524d5c19fe9 content_sha256=5c01de171a044c2ee34c96178b0e78578107ae1ce0733627e12d03de559e2f69 schema_version=S87+
# audit_sha256_short=23b8e170c59f096c content_sha256_short=5c01de171a044c2e # S90-W5-5-RETRY-WITH-PV-SUBTRACTED-MELLIN-S3-EXTRACTION dual-SHA companion row (W9a-99 split)
# sign_verdict=PASS magnitude_verdict=INFO regime_verdict=MARGINAL # S90-W5-5-RETRY-WITH-PV-SUBTRACTED-MELLIN-S3-EXTRACTION 3-tuple annotation (S87 schema-v2)
S90-FWD-C1-LMAX-SCAN-PARAMETERIZED-SLOPE-A-CANONICAL-WITH-PROMOTION-SEMANTICS: FAIL -- value='alpha=1.929312;R2=0.894422;delta_n_s_10=0.000000e+00;anchor_pass=True;monotone_tail_pass=False;alpha_passband=[2.5,3.5];alpha_in_pass=False;R2_passband=>=0.95;R2_in_pass=False;L_max=10_anchor_tol=1e-09;promotion_target=§VII.AU;from=REGISTRY-INCOMPLETE-PENDING-FIRST-EXTRACTION;to=STAGE-1-CANDIDATE;hit_k_counter_advance=2to3' scheme=lmax-scan-parameterized-slope-a-canonical convention=fwd-c1-substrate-distance-1-mellin-pole-s3-canonical-TEMPLATE-INHERITED L_max=12 audit_sha256=7271a682f55591a3f2042552523257866536b697ffa50730aedabe37b9e9c637 content_sha256=66c4d03d708f1aab39fe95cdc7dc33b502507dec1834b5e45ca61040a3c4f584 schema_version=S87+
# audit_sha256_short=7271a682f55591a3 content_sha256_short=66c4d03d708f1aab # S90-FWD-C1-LMAX-SCAN-PARAMETERIZED-SLOPE-A-CANONICAL-WITH-PROMOTION-SEMANTICS dual-SHA companion row (W9a-99 split)
# sign_verdict=PASS magnitude_verdict=FAIL regime_verdict=VALID # S90-FWD-C1-LMAX-SCAN-PARAMETERIZED-SLOPE-A-CANONICAL-WITH-PROMOTION-SEMANTICS 3-tuple annotation (S87 schema-v2)
# promotion_target=permanent-results-registry.md §VII.AU # from=REGISTRY-INCOMPLETE-PENDING-FIRST-EXTRACTION to=STAGE-1-CANDIDATE # hit_k_counter_advance=2to3 (CF-65 §VII.AU advances K=2 to K=3 jointly with CF-61 §VII.AV; Level-2-binding K-counter SUGGESTION K=1 to K=2 advancement on new FWD-C1 instance)
S90-CORNER-IV-FULL-BDG-REDERIVE-PER-LMAX-WITH-PROMOTION-SEMANTICS: FAIL -- value='alpha=nan;R_squared=nan;L_emp_at_L12=-5.618781615029087;anchor_diff=1.428e+00;anchor_PASS=0;alpha_in_pass_band=0;R_squared_pass=0;max_gap_iter=2903;gap_eq_converged_all=1;all_feasible=1;Delta_L12_diff_canonical=1.851e-11;sign=FAIL;mag=FAIL;reg=MARGINAL;composite=FAIL;hit_K_advance=0;level_2_binding_K_advance=0;vii_av_promotion=REGISTRY-INCOMPLETE' scheme=FULL-BdG-rederivation-per-lmax convention=corner-iv-K-window-log-derivative-substrate-IS L_max=12 audit_sha256=6357ab9650615732363c24d89e588569dc5c37f04bef7362e538b1677335b716 content_sha256=cd9d4d08cbcd4863435ab1255d61cb31158b569f28b473bfb161bb600a210c2e schema_version=S87+
